,index,ticker,date,Close
0,0,AAPL,2024-03-01,179.66000366210938
1,1,AAPL,2024-03-04,175.10000610351562
2,2,AAPL,2024-03-05,170.1199951171875
3,3,AAPL,2024-03-06,169.1199951171875
4,4,AAPL,2024-03-07,169.0
5,5,AAPL,2024-03-08,170.72999572753906
6,6,AAPL,2024-03-11,172.75
7,7,AAPL,2024-03-12,173.22999572753906
8,8,AAPL,2024-03-13,171.1300048828125
9,9,AAPL,2024-03-14,173.0
10,0,MSFT,2024-03-01,415.5
11,1,MSFT,2024-03-04,414.9200134277344
12,2,MSFT,2024-03-05,402.6499938964844
13,3,MSFT,2024-03-06,402.0899963378906
14,4,MSFT,2024-03-07,409.1400146484375
15,5,MSFT,2024-03-08,406.2200012207031
16,6,MSFT,2024-03-11,404.5199890136719
17,7,MSFT,2024-03-12,415.2799987792969
18,8,MSFT,2024-03-13,415.1000061035156
19,9,MSFT,2024-03-14,425.2200012207031
20,0,CRM,2024-03-01,316.46661376953125
21,1,CRM,2024-03-04,314.22955322265625
22,2,CRM,2024-03-05,298.3602600097656
23,3,CRM,2024-03-06,303.3736877441406
24,4,CRM,2024-03-07,302.0254821777344
25,5,CRM,2024-03-08,304.8817443847656
26,6,CRM,2024-03-11,305.6007995605469
27,7,CRM,2024-03-12,306.2200012207031
28,8,CRM,2024-03-13,304.67999267578125
29,9,CRM,2024-03-14,303.32000732421875
30,0,NFLX,2024-03-01,619.3400268554688
31,1,NFLX,2024-03-04,615.8300170898438
32,2,NFLX,2024-03-05,598.5
33,3,NFLX,2024-03-06,597.6900024414062
34,4,NFLX,2024-03-07,608.510009765625
35,5,NFLX,2024-03-08,604.8200073242188
36,6,NFLX,2024-03-11,600.9299926757812
37,7,NFLX,2024-03-12,611.0800170898438
38,8,NFLX,2024-03-13,609.4500122070312
39,9,NFLX,2024-03-14,613.010009765625
